,price,bedrooms&bathrooms,sqft,location,city
0,"                                    $1,025,000                                       ",3 beds         2 baths         ,"1,840 sq. ft         ",               635 Montezuma Court            ,            Walnut Creek CA 94598         
1,"                                    $1,848,000                                       ",2 beds         2 baths         ,"2,246 sq. ft         ",               518 Quail Hill Ct 0            ,            Walnut Creek CA 94595         
2,"                                    $1,399,000                                       ",4 beds         2 baths         ,"2,279 sq. ft         ",               3151 Kirby Ln            ,            Walnut Creek CA 94598         
3,"                                    $1,050,000                                       ",3 beds         2 baths         ,"2,054 sq. ft         ",               136 Twin Peaks Dr            ,            Walnut Creek CA 94595         
4,"                                    $720,000                                       ",2 beds         2 baths         ,"1,240 sq. ft         ",               1840 tice creek 2202            ,            Walnut Creek CA 94595         
5,"                                    $370,000                                       ",2 beds         1 bath         ,"1,054 sq. ft         ",               1133 Skycrest Dr 4            ,            Walnut Creek CA 94595         
6,"                                    $789,000                                       ",2 beds         2 baths         ,"1,495 sq. ft         ",               3612 Rossmoor Pkwy 3            ,            Walnut Creek CA 94595         
7,"                                    $485,000                                       ",2 beds         2 baths         ,"1,077 sq. ft         ",               440 N Civic Dr Unit 508            ,            Walnut Creek CA 94596         
8,"                                    $355,000                                       ",1 bed         1 bath         ,682 sq. ft         ,               310 N Civic Dr Unit 509            ,            Walnut Creek CA 94596         
9,"                                    $649,950                                       ",2 beds         2 baths         ,"1,267 sq. ft         ",               4329 Terra Granada 3A            ,            Walnut Creek CA 94595         
10,"                                    $649,000                                       ",2 beds         2 baths         ,"1,285 sq. ft         ",               1310 Creekside Dr 101            ,            Walnut Creek CA 94596         
11,"                                    $547,000                                       ",2 beds         2 baths         ,"1,071 sq. ft         ",               333 Masters Ct 4            ,            Walnut Creek CA 94598         
12,"                                    $479,950                                       ",2 beds         2 baths         ,"1,077 sq. ft         ",               450 N Civic Drive 401            ,            Walnut Creek CA 94596         
13,"                                    $418,000                                       ",2 beds         1 bath         ,"1,095 sq. ft         ",               1301 Running Springs Rd 1            ,            Walnut Creek CA 94595         
14,"                                    $475,000                                       ",2 beds         2 baths         ,950 sq. ft         ,               1919 Ygnacio Valley Rd 98            ,            Walnut Creek CA 94598         
15,"                                    $1,149,000                                       ",4 beds         2 baths         ,"2,422 sq. ft         ",               3514 Bayberry Drive            ,            Walnut Creek CA 94598         
16,"                                    $1,239,000                                       ",5 beds         2 baths         ,"2,237 sq. ft         ",               327 Wimbledon Rd            ,            Walnut Creek CA 94598         
17,"                                    $650,000                                       ",2 beds         2 baths         ,"1,404 sq. ft         ",               2055 Cactus Ct 3            ,            Walnut Creek CA 94595         
18,"                                    $1,200,000                                       ",3 beds         2 baths         ,"2,028 sq. ft         ",               820 Palmer Rd            ,            Walnut Creek CA 94596         
19,"                                    $425,000                                       ",2 beds         1 bath         ,"1,050 sq. ft         ",               1909 Skycrest Dr 5            ,            Walnut Creek CA 94595         
